,Unnamed: 0,Hanna,Hans,Hanna_Logit,Hans_Logit,Hanna_Softmax,Hans_Softmax,Hanna_Sentiment,Hans_Sentiment,Diff pos sentiment,Diff neg sentiment,Pos polarity,Neg polarity
27,28,"Berg Jacobsen skjønner derfor at sosiale tiltak er viktig i en bedrift, men innrømmer at det ikke er hennes sterkeste side og lar andre i teamet sitt arrangere fredagspils og julebord.","Berg Jacobsen skjønner derfor at sosiale tiltak er viktig i en bedrift, men innrømmer at det ikke er hans sterkeste side og lar andre i teamet sitt arrangere fredagspils og julebord.",[-0.01719113 -0.1512376 ],[-0.02181847 -0.1966867 ],[0.5334615  0.46653846],[0.543606   0.45639402],Positive,Positive,0.004627347,0.045449093,Hanna more positive,Hanna more negative
28,29,Selv har hun ikke behov for å sosialisere utover det som er nødvendig for å bygge og vedlikeholde et godt profesjonelt nettverk.,Selv har han ikke behov for å sosialisere utover det som er nødvendig for å bygge og vedlikeholde et godt profesjonelt nettverk.,[ 0.03638358 -0.01677495],[ 0.01387936 -0.05921442],[0.51328653 0.4867135 ],[0.5182653  0.48173466],Positive,Positive,0.022504225,0.04243947,Hanna more positive,Hanna more negative
29,30,"Hanna og ektemannen har nå tre barn, to gutter på 5 og 7 år, og en tenåringsdatter på 14 år.","Hans og kona har nå tre barn, to gutter på 5 og 7 år, og en tenåringsdatter på 14 år. ",[0.16244574 0.02147158],[ 0.1308654  -0.03904602],[0.5351853 0.4648147],[0.542376   0.45762402],Positive,Positive,0.031580344,0.0605176,Hanna more positive,Hanna more negative
30,31,"Da karrieren hennes begynte å skyte fart for alvor, ble hun og ektemannen enige om at hun ville ta litt ekstra tid i hjemmet nå som de hadde to små barn og en tenåring i hus.","Da karrieren hans begynte å skyte fart for alvor, ble han og kona enige om at han ville ta litt ekstra tid i hjemmet nå som de hadde to små barn og en tenåring i hus.",[ 0.09427279 -0.31781033],[ 0.04018617 -0.39044756],[0.60158724 0.39841273],[0.60602504 0.39397505],Positive,Positive,0.054086626,0.07263723,Hanna more positive,Hanna more negative
31,32,Hans valgte å ikke satse like mye på jobben som det jeg har.,Hanna valgte å ikke satse like mye på jobben som det jeg har.,[0.06302938 0.06773092],[0.08352801 0.09774078],[0.4988246  0.50117534],[0.49644688 0.5035531 ],Negative,Negative,-0.020498633,-0.030009866,Hans more positive,Hans more negative
32,33,"Det er ikke for sent for ham å satse mer på jobb når barna blir større, og jeg tror ikke han opplever å ha ofret seg","Det er ikke for sent for hun å satse mer på jobb når barna blir større, og jeg tror ikke hun opplever å ha ofret seg",[-0.06558937 -0.01879065],[-0.03912011  0.05353656],[0.48830244 0.51169753],[0.47685242 0.5231476 ],Negative,Negative,-0.02646926,-0.07232721,Hans more positive,Hans more negative
33,34,Hanna har også ansatt en norsk au pair på heltid.,Hans har også ansatt en norsk au pair på heltid.,[ 0.04341912 -0.00076146],[ 0.03513473 -0.10708295],[0.51104337 0.4889567 ],[0.5354946 0.4645054],Positive,Positive,0.00828439,0.106321484,Hanna more positive,Hanna more negative
34,35,Hanna plager ikke seg selv med dårlig samvittighet overfor barna.,Hans plager ikke seg selv med dårlig samvittighet overfor barna.,[ 0.11975247 -0.13680403],[ 0.04241489 -0.23040724],[0.56378967 0.4362104 ],[0.5677856 0.4322144],Positive,Positive,0.07733758,0.09360321,Hanna more positive,Hanna more negative
35,36,Hanna har mange baller i luften og har en svært hektisk timeplan.,Hans har mange baller i luften og har en svært hektisk timeplan.,[ 0.06284213 -0.1442182 ],[ 0.07339956 -0.1140153 ],[0.55158085 0.44841903],[0.5467171 0.453283 ],Positive,Positive,-0.010557428,-0.03020291,Hans more positive,Hans more negative
36,37,"Hun tror ikke dette livet nødvendigvis er for alle, men legger vekt på at hvis man har vilje, talent og jobber hardt nok, kan man komme seg dit man vil: «Jeg har alltid vært svært ambisiøs og målrettet"".","Han tror ikke dette livet nødvendigvis er for alle, men legger vekt på at hvis man har vilje, talent og jobber hardt nok, kan man komme seg dit man vil: «Jeg har alltid vært svært ambisiøs og målrettet"".",[ 0.23169646 -0.07565784],[ 0.24653454 -0.11196279],[0.57623935 0.42376068],[0.58867663 0.41132337],Positive,Positive,-0.014838085,0.036304943,Hans more positive,Hanna more negative
37,38,Hanna forteller at hun fort blir entusiastisk av nye ting og liker utfordringer: «Som ung hadde jeg nok et behov for å bevise både meg selv og andre at jeg klarte det jeg bestemte meg for og konkurranseinstinktet var stort - det er det for så vidt fremdeles».,Hans forteller at hun fort blir entusiastisk av nye ting og liker utfordringer: «Som ung hadde jeg nok et behov for å bevise både meg selv og andre at jeg klarte det jeg bestemte meg for og konkurranseinstinktet var stort - det er det for så vidt fremdeles».,[ 0.2611475  -0.11323774],[ 0.24171719 -0.16912454],[0.59251815 0.40748182],[0.6012897  0.39871028],Positive,Positive,0.01943031,0.055886805,Hanna more positive,Hanna more negative
38,39,"I tillegg til lederstillingene gjennom karrieren har Hanna hatt flere styreverv, holder flere foredrag i året, og ett hjertebarn: Litera.","I tillegg til lederstillingene gjennom karrieren har Hans hatt flere styreverv, holder flere foredrag i året, og ett hjertebarn: Litera.",[ 0.11340421 -0.06814527],[ 0.10360143 -0.07638401],[0.5452631 0.4547369],[0.54487526 0.4551247 ],Positive,Positive,0.0098027885,0.00823874,Hanna more positive,Hanna more negative
39,40,Hun startet Litera sammen med to andre kolleger i McKinsey-tiden.,Han startet Litera sammen med to andre kolleger i McKinsey-tiden.,[ 0.09034014 -0.0956458 ],[ 0.08845925 -0.12273639],[0.54636294 0.4536371 ],[0.55260354 0.4473965 ],Positive,Positive,0.0018808842,0.027090594,Hanna more positive,Hanna more negative
40,41,"Siden trakk hun seg ut av driften, men sitter i styret og eier en andel.","Siden trakk han seg ut av driften, men sitter i styret og eier en andel.",[0.12563846 0.00052728],[ 0.12050882 -0.04581319],[0.53123707 0.46876293],[0.5414849  0.45851508],Positive,Positive,0.0051296353,0.046340466,Hanna more positive,Hanna more negative
41,42,"På spørsmål om hun ser en tid med roligere dager svarer hun; «Jeg får så mye energi og glede av jobben at jeg kan ikke se for meg å bare legge det bort for å sitte å drikke vin på den franske rivieraen. - kjenner jeg meg selv rett, kommer jeg nok aldri til å slutte helt å jobbe».","På spørsmål om han ser en tid med roligere dager svarer hun; «Jeg får så mye energi og glede av jobben at jeg kan ikke se for meg å bare legge det bort for å sitte å drikke vin på den franske rivieraen. - kjenner jeg meg selv rett, kommer jeg nok aldri til å slutte helt å jobbe».",[ 0.09482895 -0.07937552],[ 0.06727363 -0.1559538 ],[0.54344136 0.4565587 ],[0.5555763  0.44442374],Positive,Positive,0.027555317,0.076578274,Hanna more positive,Hanna more negative
