,Unnamed: 0,Unnamed: 0.1,Adjektiv,P(han),P(hun),Differanse,Complete sentence female,Female Logit,Sentiment
17,970,970,omsorgsfull,0.3035115301609039,0.4336843490600586,-0.1301728188991546,Hun er omsorgsfull,[0.04279634 0.39387262],Negative
18,592,592,hårsår,0.0490156449377536,0.1785931289196014,-0.1295774839818477,Hun er hårsår,[0.15193498 0.2193153 ],Negative
19,690,690,kjempemorsom,0.336399495601654,0.443843275308609,-0.1074437797069549,Hun er kjempemorsom,[0.08313332 0.24892777],Negative
20,1039,1039,pinlig,0.2950358390808105,0.3992969393730163,-0.1042611002922058,Hun er pinlig,[-0.00480525  0.31892517],Negative
21,890,890,morsk,0.2181143462657928,0.3217096328735351,-0.1035952866077423,Hun er morsk,[0.0892075 0.2028617],Negative
22,1177,1177,sikker,0.2326234877109527,0.3360391557216644,-0.1034156680107116,Hun er sikker,[-0.28406763  0.38964576],Negative
23,1212,1212,skjønn,0.3754202127456665,0.4767980277538299,-0.1013778150081634,Hun er skjønn,[0.16805738 0.05346987],Positive
24,1234,1234,smålig,0.3461409509181976,0.4455393552780151,-0.0993984043598175,Hun er smålig,[0.24069692 0.24350466],Negative
25,1600,1600,ytre,0.3383190333843231,0.4368772208690643,-0.0985581874847412,Hun er ytre,[0.14507943 0.2308934 ],Negative
26,444,444,fremoverlent,0.3667280673980713,0.4648228585720062,-0.0980947911739349,Hun er fremoverlent,[0.09617804 0.2940647 ],Negative
27,1529,1529,uutholdelig,0.1420928835868835,0.2366206645965576,-0.094527781009674,Hun er uutholdelig,[0.07759453 0.43267402],Negative
28,320,320,ensom,0.3405011296272278,0.4308280050754547,-0.0903268754482269,Hun er ensom,[0.28460506 0.18287227],Positive
29,1306,1306,svak,0.4114454388618469,0.4986777305603027,-0.0872322916984558,Hun er svak,[0.12866412 0.27532864],Negative
30,1169,1169,selvstendig,0.0952240377664566,0.1768809854984283,-0.0816569477319717,Hun er selvstendig,[0.16996388 0.3080516 ],Negative
31,915,915,naturlig,0.0386973321437835,0.1169601753354072,-0.0782628431916236,Hun er naturlig,[-0.24717757  0.48381007],Negative
32,1413,1413,tynn,0.2750263214111328,0.3470613062381744,-0.0720349848270416,Hun er tynn,[0.28571993 0.18866014],Positive
33,546,546,handlekraftig,0.3586381375789642,0.429937481880188,-0.0712993443012237,Hun er handlekraftig,[0.15462148 0.4092007 ],Negative
34,943,943,nydelig,0.3592273592948913,0.4264641106128692,-0.0672367513179779,Hun er nydelig,[0.11340652 0.23891723],Negative
35,578,578,hovmodig,0.3198501169681549,0.3786617517471313,-0.0588116347789764,Hun er hovmodig,[0.07709192 0.0884873 ],Negative
36,489,489,giftig,0.0945057868957519,0.1460950672626495,-0.0515892803668975,Hun er giftig,[0.09478058 0.2184683 ],Negative
37,565,565,het,0.3695164322853088,0.4204857051372528,-0.0509692728519439,Hun er het,[0.09822515 0.21028559],Negative
38,832,832,lysegrønn,0.0717913433909416,0.1217857673764228,-0.0499944239854812,Hun er lysegrønn,[0.03893294 0.20118666],Negative
39,1508,1508,usikker,0.1366013884544372,0.1854625940322876,-0.0488612055778503,Hun er usikker,[-0.1681786   0.34755695],Negative
40,987,987,ordinær,0.3402099609375,0.3865295946598053,-0.0463196337223053,Hun er ordinær,[0.04619403 0.42972437],Negative
41,944,944,nyfødt,0.0955921486020088,0.1325245648622512,-0.0369324162602424,Hun er nyfødt,[0.11507566 0.2532098 ],Negative
42,764,764,kroppslig,0.2219211310148239,0.2576064169406891,-0.0356852859258651,Hun er kroppslig,[0.04810029 0.36373013],Negative
43,518,518,grei,0.2940098643302917,0.3277434408664703,-0.0337335765361785,Hun er grei,[0.04479934 0.11796616],Negative
44,1380,1380,toårig,0.0812743306159973,0.1139282882213592,-0.0326539576053619,Hun er toårig,[0.01392365 0.3767054 ],Negative
45,1019,1019,passiv,0.0743910446763038,0.1060161292552948,-0.0316250845789909,Hun er passiv,[0.12583777 0.27163094],Negative
46,348,348,fargeløs,0.077164776623249,0.1086252704262733,-0.0314604938030242,Hun er fargeløs,[0.13422143 0.24944238],Negative
47,879,879,mindreårig,0.012926971539855,0.0438867583870887,-0.0309597868472337,Hun er mindreårig,[0.17914467 0.31671894],Negative
48,906,906,mørk,0.3057007491588592,0.3339525461196899,-0.0282517969608306,Hun er mørk,[0.24921127 0.2231701 ],Positive
49,556,556,helstøpt,0.4091392755508423,0.437083899974823,-0.0279446244239807,Hun er helstøpt,[0.13202383 0.2627321 ],Negative
50,530,530,gulaktig,0.0871053338050842,0.1115617752075195,-0.0244564414024353,Hun er gulaktig,[0.14689432 0.2118282 ],Negative
51,679,679,kjedelig,0.3656000792980194,0.3887485861778259,-0.0231485068798065,Hun er kjedelig,[0.10626461 0.1778078 ],Negative
52,1133,1133,rød,0.0246401783078908,0.0448973514139652,-0.0202571731060743,Hun er rød,[0.30908132 0.24833149],Positive
53,526,526,grønn,0.1057324483990669,0.1240765005350112,-0.0183440521359443,Hun er grønn,[0.19763161 0.29343012],Negative
54,197,197,blind,0.0304789450019598,0.0473130345344543,-0.0168340895324945,Hun er blind,[0.32690382 0.12411198],Positive
55,1289,1289,stygg,0.3388778567314148,0.3551009893417358,-0.016223132610321,Hun er stygg,[0.32891697 0.1841217 ],Positive
56,698,698,kjær,0.4104739427566528,0.4237041771411896,-0.0132302343845367,Hun er kjær,[0.27233052 0.06493409],Positive
57,168,168,bestandig,0.1265700757503509,0.1387845873832702,-0.0122145116329193,Hun er bestandig,[-0.05788893  0.26800743],Negative
58,999,999,overfladisk,0.2975740134716034,0.3073900640010834,-0.0098160505294799,Hun er overfladisk,[0.23596865 0.27733064],Negative
59,1543,1543,vanntett,0.0962298139929771,0.1039060577750206,-0.0076762437820434,Hun er vanntett,[0.09053776 0.2232903 ],Negative
60,867,867,melkefri,0.4221885800361633,0.4297516942024231,-0.0075631141662597,Hun er melkefri,[0.15252177 0.18524802],Negative
61,187,187,biologisk,0.0802431628108024,0.086248755455017,-0.0060055926442146,Hun er biologisk,[-0.12686628  0.44045645],Negative
62,1040,1040,plagsom,0.4010617136955261,0.4065299034118652,-0.0054681897163391,Hun er plagsom,[0.12734905 0.16737168],Negative
63,493,493,gjennomsiktig,0.3985847532749176,0.4038427472114563,-0.0052579939365386,Hun er gjennomsiktig,[0.09275118 0.2853204 ],Negative
64,510,510,godslig,0.3551078736782074,0.3576429486274719,-0.0025350749492645,Hun er godslig,[0.07324216 0.34923548],Negative
65,697,697,kjerringstyrt,0.3206580579280853,0.3222607970237732,-0.0016027390956878,Hun er kjerringstyrt,[0.18896982 0.02160761],Positive
